Task ID,Week,Date,Sprint,Model Accuracy,Time Spent (hrs),Team Member IDs,Blocked,Notes,Task Start Date,Priority,Status
Task-4,3,2023-01-15,Sprint-2,0.7294,33,"1005, 1003, 1008",False,Pending data,2023-01-06,Medium,Complex
Task-4,4,2023-01-22,Sprint-2,0.6977,45,"1005, 1002",False,Stable progress,2023-01-06,Medium,Complex
Task-4,5,2023-01-29,Sprint-3,0.8279,63,"1006, 1003, 1009, 1007",True,Stable progress,2023-01-06,Medium,Complex
Task-5,1,2023-01-01,Sprint-1,0.8457,16,"1007, 1002, 1004, 1003",False,Stable progress,2023-01-11,Medium,Simple
Task-5,2,2023-01-08,Sprint-1,0.7423,23,"1002, 1001, 1009",True,Stable progress,2023-01-11,Medium,Simple
Task-5,3,2023-01-15,Sprint-2,0.708,29,"1007, 1006",True,Awaiting feedback,2023-01-11,Medium,Simple
Task-5,4,2023-01-22,Sprint-2,0.5929,35,"1008, 1001",True,Needs review,2023-01-11,Medium,Simple
Task-5,5,2023-01-29,Sprint-3,0.8488,54,"1003, 1010, 1008",False,On track,2023-01-11,Medium,Simple
Task-6,1,2023-01-01,Sprint-1,0.8483,8,"1001, 1007, 1004, 1002",False,Stable progress,2023-01-04,Low,Simple
Task-6,2,2023-01-08,Sprint-1,0.5321,15,"1006, 1001, 1009",False,Needs review,2023-01-04,Low,Simple
Task-6,3,2023-01-15,Sprint-2,0.6346,29,"1004, 1001, 1008, 1007",True,On track,2023-01-04,Low,Simple
Task-6,4,2023-01-22,Sprint-2,0.7955,49,"1004, 1006, 1008",True,On track,2023-01-04,Low,Simple
Task-6,5,2023-01-29,Sprint-3,0.8612,63,"1007, 1006, 1005",False,Pending data,2023-01-04,Low,Simple
Task-7,1,2023-01-01,Sprint-1,0.8805,10,"1003, 1008",True,Awaiting feedback,2023-01-12,High,Simple
Task-7,2,2023-01-08,Sprint-1,0.6182,26,"1004, 1006, 1008",False,Pending data,2023-01-12,High,Simple
Task-7,3,2023-01-15,Sprint-2,0.8392,36,"1005, 1010",False,Needs review,2023-01-12,High,Simple
Task-7,4,2023-01-22,Sprint-2,0.5339,55,"1008, 1001, 1007",True,On track,2023-01-12,High,Simple
Task-7,5,2023-01-29,Sprint-3,0.5256,73,"1002, 1003, 1005, 1001",False,Awaiting feedback,2023-01-12,High,Simple
Task-8,1,2023-01-01,Sprint-1,0.6637,12,"1003, 1004, 1010, 1008",True,Needs review,2023-01-06,High,Moderate
Task-8,2,2023-01-08,Sprint-1,0.9754,19,"1008, 1007, 1010, 1004",True,Pending data,2023-01-06,High,Moderate
Task-8,3,2023-01-15,Sprint-2,0.9492,27,"1009, 1004, 1002",True,Awaiting feedback,2023-01-06,High,Moderate
Task-8,4,2023-01-22,Sprint-2,0.8352,43,"1007, 1010, 1004",True,On track,2023-01-06,High,Moderate
Task-8,5,2023-01-29,Sprint-3,0.55,58,"1010, 1007, 1001",False,Awaiting feedback,2023-01-06,High,Moderate
Task-9,1,2023-01-01,Sprint-1,0.597,20,"1001, 1009, 1005, 1008",True,Stable progress,2023-01-05,High,Moderate
Task-9,2,2023-01-08,Sprint-1,0.5892,39,"1004, 1010, 1002",True,Awaiting feedback,2023-01-05,High,Moderate
Task-9,3,2023-01-15,Sprint-2,0.7506,45,"1004, 1007",False,Awaiting feedback,2023-01-05,High,Moderate
Task-9,4,2023-01-22,Sprint-2,0.8472,52,"1007, 1001, 1008",True,On track,2023-01-05,High,Moderate
Task-9,5,2023-01-29,Sprint-3,0.6599,60,"1006, 1005",True,On track,2023-01-05,High,Moderate
Task-10,1,2023-01-01,Sprint-1,0.8286,7,"1010, 1005",True,Needs review,2023-01-04,High,Simple
Task-10,2,2023-01-08,Sprint-1,0.9607,21,"1009, 1008, 1005, 1004",False,On track,2023-01-04,High,Simple
Task-10,3,2023-01-15,Sprint-2,0.5095,29,"1008, 1003, 1006, 1001",True,Stable progress,2023-01-04,High,Simple
Task-10,4,2023-01-22,Sprint-2,0.5803,41,"1009, 1004, 1006",False,Stable progress,2023-01-04,High,Simple
Task-10,5,2023-01-29,Sprint-3,0.8808,55,"1003, 1001, 1008",True,Awaiting feedback,2023-01-04,High,Simple
